dcastl2         5       1       1       4       1       3       4       5       2       5
jmeado7         2       5       3       4       1       5       2       3       3       4
nbell8          3       3       2       3       1       3       2       4       3       4
sghimi3         4       5       2       4       4       1       2       5       2       2
falam3          3       3       2       4       4       4       4       4       2       4
bdellu1         2       5       4       2       1       5       2       5       4       5
kbroad3         4       4       3       5       3       4       2       4       3       5
nistre3         2       5       4       4       3       4       1       3       1       5
godenw1         2       4       4       4       3       5       3       4       3       5
aferg44         3       3       4       4       2       2       3       2       2       4
ddo7            3       4       4       3       2       4       3       4       3       4
jflem18         2       4       4       3       4       4       2       3       2       2       
ccall12         2       1       2       3       3       3       4       5       3       4
ncharl4         3       4       4       2       5       4       2       4       5       3
ntomba1         4       4       5       3       2       4       3       4       5       5
jelese1         3       4       4       4       2       3       2       3       2       4
jholl44         3       4       3       3       1       4       2       4       3       4
khamer3         5       4       2       2       3       1       2       5       5       4
cwyse1          4       5       3       5       5       4       2       4       1       4
amajo13         5       1       2       5       3       4       3       4       1       5
whu8            3       4       4       3       3       3       1       3       2       3
jtrich6         3       4       4       2       1       3       3       2       4       4
jcome35         4       2       3       5       2       3       2       4       2       5
